Store_ID,Avg_Color_Coverage,Avg_Size_Coverage,Allocation_Ratio,Performance_Score,Total_Allocated,QTY_SUM
30019,1.0,0.9583333333333334,13.90458618871903,0.9854166666666666,79131,5691
10053,0.29259259259259257,0.18055555555555555,0.41841004184100417,0.2911248644041531,500,1195
50106,0.27037037037037037,0.20555555555555557,0.41017227235438886,0.28962575578039074,500,1219
30015,0.2793650793650793,0.16666666666666666,0.43327556325823224,0.2860937800885808,500,1154
10043,0.23703703703703702,0.18055555555555555,0.43327556325823224,0.27614007638487703,500,1154
10035,0.2846560846560846,0.18611111111111112,0.3531073446327684,0.270700721908349,500,1416
50057,0.20925925925925926,0.18055555555555555,0.43936731107205623,0.2682453785068021,500,1138
10057,0.2568783068783069,0.19999999999999998,0.33738191632928477,0.2611219823061928,500,1482
10023,0.23703703703703702,0.13888888888888887,0.4095004095004095,0.2544241969241969,500,1221
30043,0.25555555555555554,0.16666666666666666,0.3405994550408719,0.24995761429003932,500,1468
